0.0,2.55,-0.2
0.01,3,0.0
0.45,3,-0.8
0.0,2.7,0.0
0.112,2.55,-0.2
0.0,3,-0.01
0.8,3,-0.45
0.0,2.7,0.0
0.2,2.55,-0.112
0.01,3,0.0
0.8,3,0.0
0.0,2.7,0.0
0.2,2.55,0.0
0.2,2.55,0.0
0.4,2.4,0.0
1.3,2.4,0.0
1.3,2.25,0.0
0.2,2.55,0.112
0.4,2.4,0.224
1.3,2.4,0.728
1.3,2.25,0.728
0.112,2.55,0.2
0.224,2.4,0.4
0.728,2.4,1.3
0.728,2.25,1.3
0.0,2.55,0.2
0.0,2.4,0.4
0.0,2.4,1.3
0.0,2.25,1.3
0.0,2.55,0.2
0.0,2.4,0.4
0.0,2.4,1.3
0.0,2.25,1.3
-0.112,2.55,0.2
-0.224,2.4,0.4
-0.728,2.4,1.3
-0.728,2.25,1.3
-0.2,2.55,0.112
-0.4,2.4,0.224
-1.3,2.4,0.728
-1.3,2.25,0.728
-0.2,2.55,0.0
-0.4,2.4,0.0
-1.3,2.4,0.0
-1.3,2.25,0.0
-0.2,2.55,0.0
-0.4,2.4,0.0
-1.3,2.4,0.0
-1.3,2.25,0.0
-0.2,2.55,-0.112
-0.4,2.4,-0.224
-1.3,2.4,-0.728
-1.3,2.25,-0.728
-0.112,2.55,-0.2
-0.224,2.4,-0.4
-0.728,2.4,-1.3
-0.728,2.25,-1.3
0.0,2.55,-0.2
0.0,2.4,-0.4
0.0,2.4,-1.3
0.0,2.25,-1.3
0.0,2.55,-0.2
0.0,2.4,-0.4
0.0,2.4,-1.3
0.0,2.25,-1.3
0.112,2.55,-0.2
0.224,2.4,-0.4
0.728,2.4,-1.3
0.728,2.25,-1.3
0.2,2.55,-0.112
0.4,2.4,-0.224
1.3,2.4,-0.728
1.3,2.25,-0.728
0.2,2.55,0.0
0.4,2.4,0.0
1.3,2.4,0.0
1.3,2.25,0.0
